time decyear lat lon height heightE waterID distnode width reachID nodeID wse OCval
29487608.0313972 2018.935 43.0094176397591 -88.8323246626698 236.997344970703 202.226623535156 2008810 80.6343420116835 42 74287200531 74287200530141 238.699996948242 0
29487608.0333972 2018.935 43.0092903005703 -88.8323412351681 237.034744262695 202.264343261719 2008810 68.3464516450026 42 74287200531 74287200530141 238.699996948242 0
29487608.0352972 2018.935 43.0091693493597 -88.8323569775253 237.010162353516 202.240097045898 2008810 57.5082262845852 42 74287200531 74287200530141 238.699996948242 26
29487608.0373972 2018.935 43.0090355401759 -88.8323745575382 237.009506225586 202.239440917969 2008810 47.1645355825791 42 74287200531 74287200530141 238.699996948242 26
29487608.0394972 2018.935 43.0089017133047 -88.8323922016401 236.998199462891 202.228454589844 2008810 39.8631276771606 42 74287200531 74287200530141 238.699996948242 5
29487608.0677972 2018.935 43.0070986703307 -88.8326270557649 237.351806640625 202.585250854492 2008810 191.297491716799 42 74287200531 74287200530141 238.699996948242 2
29487608.0695972 2018.935 43.0069840217005 -88.8326417986002 237.340240478516 202.574005126953 2008810 203.869272665981 42 74287200531 74287200530141 238.699996948242 3
29487608.0713972 2018.935 43.0068693637756 -88.8326565469779 237.340911865234 202.574676513672 2008810 216.070163861874 42 74287200531 74287200530131 238.699996948242 3
29487608.0735876 2018.935 43.0067298085432 -88.832674553512 237.492858886719 202.726928710938 2008810 222.424645573449 42 74287200531 74287200530131 238.699996948242 3
29487609.3144972 2018.935 42.9276628588683 -88.843015071208 236.529388427734 201.90592956543 2008810 142.741139230512 105 74287200341 74287200340431 237.300003051758 0
29487609.3179972 2018.935 42.9274394287903 -88.8430442227979 236.539611816406 201.916793823242 2008810 118.731709902416 105 74287200341 74287200340431 237.300003051758 59
29487609.3217972 2018.935 42.9271971524454 -88.8430762091508 236.560028076172 201.937545776367 2008810 93.2720035239486 105 74287200341 74287200340431 237.300003051758 82
29487609.3258972 2018.935 42.9269359498998 -88.8431109822308 236.544799804688 201.922637939453 2008810 67.256920765844 105 74287200341 74287200340431 237.300003051758 10
29487608.3642972 2018.935 43.0100451293431 -88.8332530175163 237.069122314453 202.297515869141 2008810 81.1038936171829 42 74287200531 74287200530151 238.699996948242 0
29487608.3656972 2018.935 43.0099560158244 -88.8332644364015 237.071655273438 202.300354003906 2008810 74.195808699252 42 74287200531 74287200530151 238.699996948242 0
29487608.3664972 2018.935 43.0099050698544 -88.8332709391101 237.063385009766 202.292083740234 2008810 70.575902907643 42 74287200531 74287200530151 238.699996948242 0
29487608.3669972 2018.935 43.0098732046193 -88.8332750263222 237.018478393555 202.247192382812 2008810 68.4536370843515 42 74287200531 74287200530151 238.699996948242 0
29487608.3675972 2018.935 43.009834978601 -88.8332798829277 237.038879394531 202.267578125 2008810 66.0743471386559 42 74287200531 74287200530151 238.699996948242 0
29487608.3681972 2018.935 43.0097967377123 -88.8332847355504 237.027191162109 202.255889892578 2008810 63.8916789211019 42 74287200531 74287200530151 238.699996948242 0
29487608.3686972 2018.935 43.0097648658169 -88.8332887670679 237.021087646484 202.250122070312 2008810 62.2391891735953 42 74287200531 74287200530151 238.699996948242 0
29487608.3691972 2018.935 43.0097329954284 -88.8332927746327 236.9990234375 202.228057861328 2008810 60.752450682709 42 74287200531 74287200530151 238.699996948242 0
29487608.3696972 2018.935 43.0097011079882 -88.8332967979592 237.021759033203 202.250793457031 2008810 59.4401795352362 42 74287200531 74287200530151 238.699996948242 0
29487608.3700972 2018.935 43.0096755839425 -88.8333000299835 237.010375976562 202.239410400391 2008810 58.5239617407125 42 74287200531 74287200530151 238.699996948242 0
29487608.3706972 2018.935 43.0096373101691 -88.8333048316543 237.028717041016 202.257751464844 2008810 57.3921446147113 42 74287200531 74287200530151 238.699996948242 0
29487608.3713972 2018.935 43.0095926248061 -88.8333104672691 237.085235595703 202.314590454102 2008810 56.4503809995577 42 74287200531 74287200530151 238.699996948242 0
29487608.3720972 2018.935 43.0095479438846 -88.833316055578 237.050399780273 202.279754638672 2008810 55.9434818436391 42 74287200531 74287200530151 238.699996948242 0
29487608.3726972 2018.935 43.0095096198973 -88.8333208688453 237.06510925293 202.294464111328 2008810 55.8596107136577 42 74287200531 74287200530151 238.699996948242 0
29487608.3734972 2018.935 43.0094585228209 -88.8333272441201 237.028411865234 202.257766723633 2008810 56.2597412532241 42 74287200531 74287200530151 238.699996948242 0
29487608.3738972 2018.935 43.0094329518013 -88.8333304622702 237.024917602539 202.254272460938 2008810 56.6728327150123 42 74287200531 74287200530151 238.699996948242 0
29487608.3743972 2018.935 43.0094010052025 -88.8333344390076 237.004638671875 202.234313964844 2008810 57.388148249977 42 74287200531 74287200530151 238.699996948242 0
29487608.3747972 2018.935 43.009375643697 -88.8333375938787 237.012741088867 202.242416381836 2008810 58.1060612427734 42 74287200531 74287200530151 238.699996948242 0
29487608.3752972 2018.935 43.0093436126752 -88.8333415856719 237.00959777832 202.239273071289 2008810 59.193698490426 42 74287200531 74287200530151 238.699996948242 0
29487608.3756972 2018.935 43.0093179627745 -88.8333448185561 237.019973754883 202.249649047852 2008810 60.2012437503136 42 74287200531 74287200530151 238.699996948242 0
29487608.3765972 2018.935 43.0092602673976 -88.8333520304578 237.64143371582 202.871109008789 2008810 62.8909420877066 42 74287200531 74287200530151 238.699996948242 0
29487609.6651973 2018.935 42.9271638003459 -88.8441299400406 236.586685180664 201.964477539062 2008810 141.966628358276 105 74287200341 74287200340431 237.300003051758 0
