time decyear lat lon Hice1 Hice2 Himth geoid distnode width reachID nodeID wse OCval
420896784.499069 2013.336 41.304884 -92.939333 251.523967242202 240.582867242202 239.666261467705 -31.3915497407621 3042.26054773263 152 74284100161 74284100160531 207.300003051758 0
420896784.52498 2013.336 41.306402 -92.939846 251.661072757797 239.975672757797 240.466644288883 -31.3906502592379 2930.08315775043 152 74284100161 74284100160531 207.300003051758 0
420896784.550892 2013.336 41.307921 -92.940358 240.365377684142 239.046477684142 241.034427732743 -31.3897501851699 2824.02545079563 152 74284100161 74284100160531 207.300003051758 0
420896784.576804 2013.336 41.30944 -92.940871 240.461282610485 239.220082610484 242.876813048307 -31.388850111102 2725.01371053796 152 74284100161 74284100160531 207.300003051758 0
420896784.602715 2013.336 41.310959 -92.941384 237.856587536829 239.104687536827 243.324205427536 -31.387950037034 2629.26187282334 208.5 74284100161 74284100160541 207.300003051758 0
420896784.628627 2013.336 41.312478 -92.941897 226.498192463171 234.161092463171 243.479956386024 -31.387049962966 2535.02493602512 208.5 74284100161 74284100160541 207.300003051758 0
420896784.654538 2013.336 41.313997 -92.94241 232.322897389516 229.832397389517 243.612112221325 -31.386149888898 2449.53837925037 208.5 74284100161 74284100160541 207.300003051758 0
420896784.68045 2013.336 41.315516 -92.942923 226.729202315859 226.716702315858 242.962739794392 -31.3852498148301 2373.74773690644 208.5 74284100161 74284100160541 207.300003051758 0
420896784.706362 2013.336 41.317035 -92.943436 233.761507242204 226.835907242203 242.214334310622 -31.3843497407621 2308.60809893757 208.5 74284100161 74284100160541 207.300003051758 0
420896784.732273 2013.336 41.318553 -92.943949 233.777812757798 226.092012757797 240.934115926618 -31.3834502592379 2255.09832254471 208.5 74284100161 74284100160541 207.300003051758 0
420896784.758185 2013.336 41.320072 -92.944462 233.85421768414 226.199617684141 239.651182088146 -31.3825501851699 2133.07968976013 189 74284100161 74284100160641 207.300003051758 0
420896784.784096 2013.336 41.321591 -92.944975 233.737622610485 226.220322610485 238.597710856364 -31.381650111102 1988.09088047209 189 74284100161 74284100160641 207.300003051758 19
420896784.810008 2013.336 41.32311 -92.945488 247.045127536828 215.459127536827 237.323759340124 -31.380750037034 1848.11757112749 189 74284100161 74284100160641 207.300003051758 0
420896784.835917 2013.336 41.324629 -92.946001 220.620432463172 224.266432463173 235.837523176463 -31.379849962966 1714.38862959434 189 74284100161 74284100160641 207.300003051758 0
420896784.861829 2013.336 41.326147 -92.946514 217.336437978766 227.281937978766 236.852669288516 -31.3789504814419 1588.57651359423 189 74284100161 74284100160641 207.300003051758 0
420896784.88774 2013.336 41.327666 -92.947027 227.086442905112 225.859442905111 234.488914718059 -31.3780504073739 1472.49458239239 189 74284100161 74284100160641 207.300003051758 0
420896784.913652 2013.336 41.329185 -92.94754 227.519347831454 227.580247831454 232.181054709303 -31.3771503333059 1358.76024848263 180.5 74284100161 74284100160651 207.300003051758 0
420896784.939564 2013.336 41.330704 -92.948054 228.051567622464 227.791267622464 230.913151810736 -31.3764663731235 1250.52987586187 180.5 74284100161 74284100160651 207.300003051758 0
420896784.965475 2013.336 41.332223 -92.948567 227.301602561234 227.276702561234 230.372019536451 -31.3759988115618 1158.38182166212 180.5 74284100161 74284100160651 207.300003051758 0
420896784.991387 2013.336 41.333742 -92.94908 229.1495375 227.315237499999 230.121891001387 -31.37553125 1077.16786519408 150 74284100161 74284100160661 207.300003051758 0
420896785.017298 2013.336 41.33526 -92.949593 227.20217274493 227.45627274493 229.882562847712 -31.375063996247 998.54964711842 150 74284100161 74284100160661 207.300003051758 0
420896785.04321 2013.336 41.336779 -92.950106 208.991507683699 208.748707683699 229.643883953656 -31.3745964346853 945.532042376934 150 74284100161 74284100160671 207.300003051758 0
420896785.069122 2013.336 41.338298 -92.95062 209.119342622465 208.982242622466 229.240517307812 -31.3741288731235 853.449633907565 199.5 74284100161 74284100160691 207.300003051758 0
420896785.095033 2013.336 41.339817 -92.951133 209.320977561234 209.183877561234 226.37646651127 -31.3736613115618 726.500976953662 197 74284100161 74284100160701 207.300003051758 0
420896785.120945 2013.336 41.341336 -92.951646 209.626712499998 209.500312499999 222.741967571072 -31.37319375 594.218521793676 155 74284100161 74284100160711 207.300003051758 0
420896785.146856 2013.336 41.342855 -92.95216 209.662747438766 209.589147438767 219.450036948776 -31.3727261884382 467.235636938327 155 74284100161 74284100160711 207.300003051758 0
420896785.172768 2013.336 41.344373 -92.952673 209.751682683698 209.676482683699 216.966221907647 -31.3722589346853 336.127584188664 173.5 74284100161 74284100160721 207.300003051758 0
420896785.19868 2013.336 41.345892 -92.953186 209.872317622465 209.720417622466 215.024947989301 -31.3717913731235 234.764053478154 173.5 74284100161 74284100160721 207.300003051758 0
420896785.224591 2013.336 41.347411 -92.9537 210.023052561232 209.903852561232 213.484426726026 -31.3713238115618 141.745107215334 169 74284100161 74284100160731 207.300003051758 0
420896785.250503 2013.336 41.34893 -92.954213 NA NA NA -31.37085625 78.4988083797906 190 74284100161 74284100160741 207.300003051758 37
420896785.276414 2013.336 41.350449 -92.954726 NA NA NA -31.3703886884382 96.484953382329 190 74284100161 74284100160741 207.300003051758 91
420896785.302326 2013.336 41.351968 -92.95524 NA NA NA -31.3699211268765 180.625193716163 195 74284100161 74284100160751 207.300003051758 0
420896785.328238 2013.336 41.353486 -92.955753 NA NA NA -31.3694538731235 313.876972916359 183 74284100161 74284100160761 207.300003051758 0
420896785.354149 2013.336 41.355005 -92.956267 209.893527561231 209.878127561231 208.717132251692 -31.3689863115618 427.384926451288 183 74284100161 74284100160761 207.300003051758 0
