time decyear lat lon Hocean Hocog Himth geoid distnode width reachID nodeID wse OCval
582308939.364457 2018.451 42.340713 -89.44636 NA 226.10186228198 NA -33.2979701504056 2977.87384361726 36 74287200626 74287200620996 226.5 0
582308939.415392 2018.451 42.337743 -89.4474 NA 225.902418000653 NA -33.2932840813596 2753.83240541998 36 74287200626 74287200620996 226.5 0
582308939.466328 2018.451 42.334773 -89.44844 NA 225.380173719317 NA -33.2885980123137 2555.80957589669 36 74287200626 74287200620996 226.5 0
582308939.517263 2018.451 42.331803 -89.44948 NA 225.052129437994 NA -33.2839119432678 2390.28094911567 36 74287200626 74287200620996 226.5 0
582308939.568199 2018.451 42.328833 -89.450519 NA 224.352785156657 NA -33.2792258742218 2264.31440849102 36 74287200626 74287200620996 226.5 0
582308939.619134 2018.451 42.325863 -89.451559 NA 224.114540875335 NA -33.2745398051759 2184.90540634495 36 74287200626 74287200620996 226.5 0
582308939.67007 2018.451 42.322893 -89.452598 NA 224.342396594003 NA -33.2698537361299 2157.05221314103 36 74287200626 74287200620996 226.5 0
582308939.721005 2018.451 42.319923 -89.453637 NA 224.540952312677 NA -33.265167667084 2182.80205006058 36 74287200626 74287200620996 226.5 0
582308939.771941 2018.451 42.316953 -89.454677 NA 224.794608031349 NA -33.260481598038 2260.40639946067 36 74287200626 74287200620996 226.5 0
582308939.822876 2018.451 42.313983 -89.455716 NA 225.124163750032 NA -33.2557955289921 2384.65547732647 36 74287200626 74287200620996 226.5 0
582308939.873812 2018.451 42.311013 -89.456755 NA 225.580019468688 NA -33.2511094599461 2548.80725718534 36 74287200626 74287200620996 226.5 0
582308939.924747 2018.451 42.308043 -89.457794 NA 225.427175187363 NA -33.2464233909002 2745.71457480305 36 74287200626 74287200620996 226.5 14
582308939.975683 2018.451 42.305073 -89.458833 NA 225.430330906025 NA -33.2417373218543 2968.86735821912 36 74287200626 74287200620996 226.5 0
582308947.972556 2018.451 41.838679 -89.621002 NA 215.234013243157 NA -32.8914618116986 3247.73207973699 268.5 74287200121 74287200120111 194.5 0
582308948.02349 2018.451 41.835708 -89.622029 NA 219.493587588938 NA -32.8944077397789 3005.11424835355 268.5 74287200121 74287200120111 194.5 0
582308948.074426 2018.451 41.832736 -89.623056 NA 219.250431613952 NA -32.897678544613 2772.54178549839 215 74287200121 74287200120101 194.5 0
582308948.125361 2018.451 41.829765 -89.624082 NA 216.83937448016 NA -32.9009482489072 2555.4981815054 215 74287200121 74287200120101 194.5 0
582308948.176297 2018.451 41.826794 -89.625109 NA 216.650217346357 NA -32.9042179532013 2363.95752207025 212 74287200121 74287200120091 194.5 0
582308948.227232 2018.451 41.823823 -89.626136 NA 209.597560212576 NA -32.9074876574955 2185.34636347493 212 74287200121 74287200120091 194.5 0
582308948.278168 2018.451 41.820851 -89.627162 NA 204.94970423759 NA -32.9107584623297 2041.65752834773 212 74287200121 74287200120081 194.5 0
582308948.329103 2018.451 41.81788 -89.628189 NA 191.794147103797 NA -32.9140281666238 1834.4438157123 279 74287200121 74287200120031 193.5 0
582308948.380039 2018.451 41.814909 -89.629215 NA 197.989189969995 NA -32.917297870918 1599.74531371416 300 74287200121 74287200120021 193.5 0
582308948.430974 2018.451 41.811937 -89.630242 NA 197.56563399504 NA -32.9205686757521 1379.41443130049 317 74287200121 74287200120011 193.5 0
582308948.48191 2018.451 41.808966 -89.631268 NA 197.916876861235 NA -32.9238383800463 1178.02473294724 317 74287200121 74287200120011 193.5 0
582308948.532845 2018.451 41.805995 -89.632294 NA 197.154619727438 NA -32.9271080843405 1048.71929181637 394 74287200111 74287200110541 193.5 0
582308948.583781 2018.451 41.803023 -89.63332 NA 193.014363752479 NA -32.9303788891746 953.735145504617 394 74287200111 74287200110541 193.5 0
582308948.634716 2018.451 41.800052 -89.634346 NA 195.43130661868 NA -32.9336485934688 914.976615102982 377.5 74287200111 74287200110531 193.5 0
582308948.685652 2018.451 41.797081 -89.635372 NA 195.325749484861 NA -32.9369182977629 942.489011384415 443 74287200111 74287200110521 193.5 0
582308948.736587 2018.451 41.794109 -89.636398 NA 195.202293509899 NA -32.9401891025971 1060.78323830897 443 74287200111 74287200110521 193.5 0
582308948.787523 2018.451 41.791138 -89.637424 NA 195.020936376103 NA -32.9434588068912 1220.17940851719 422 74287200111 74287200110511 193.5 0
582308948.838458 2018.451 41.788167 -89.638449 NA 194.073079242309 NA -32.9467285111854 1111.6802781672 1145 74287200111 74287200110311 193.5 0
582308948.889394 2018.451 41.785195 -89.639475 NA 193.948023267329 207.926721311019 -32.9499993160195 814.902411110177 1102 74287200111 74287200110321 193.5 0
582308948.940329 2018.451 41.782224 -89.640501 NA 193.796166133537 201.32269390419 -32.9532690203137 520.839327099198 1102 74287200111 74287200110321 193.5 0
582308948.991265 2018.451 41.779253 -89.641526 NA 191.645408999739 199.243803894282 -32.9565387246079 217.502356898374 1018 74287200111 74287200110331 193.5 95
582308949.042201 2018.451 41.776281 -89.642552 NA 193.61231249272 201.40642292852 -32.9586403853406 125.688424499236 877 74287200111 74287200110341 193.5 96
582308949.093137 2018.451 41.77331 -89.643577 NA 193.262496333429 201.960842570202 -32.9604992337756 459.686979051731 877 74287200111 74287200110341 193.5 0
582308949.144072 2018.451 41.770338 -89.644602 NA 193.515880707266 203.241132057104 -32.9623587078748 799.727043713067 877 74287200111 74287200110341 193.5 0
582308949.195008 2018.451 41.767367 -89.645627 NA 193.193164547982 203.76200647931 -32.9642175563098 1140.30159921009 877 74287200111 74287200110341 193.5 0
