time decyear lat lon Hocean Hocog Himth geoid distnode width reachID nodeID wse OCval
514783394.068055 2016.312 41.315012 -88.470116 156.401964245063 156.245264245056 NA -32.8264286940874 3047.63973016087 199 74282700071 74282700070031 147.900009155273 0
514783394.117323 2016.312 41.317887 -88.471097 155.656537552694 155.943537552691 NA -32.8302866632391 2721.31318802737 199 74282700071 74282700070031 147.900009155273 0
514783394.166591 2016.312 41.320762 -88.472079 153.588110860307 152.764810860318 NA -32.8341446323907 2396.00001763545 199 74282700071 74282700070031 147.900009155273 0
514783394.215858 2016.312 41.323637 -88.47306 151.422184167945 151.114884167945 NA -32.8380026015424 2072.26209233051 199 74282700071 74282700070031 147.900009155273 0
514783394.265126 2016.312 41.326512 -88.474042 146.844957475576 146.650557475569 NA -32.8418605706941 1745.66970335602 216 74282700071 74282700070041 147.900009155273 0
514783394.314368 2016.312 41.329385 -88.475023 146.808827880035 146.677727880036 NA -32.8457158560411 1419.70496341046 216 74282700071 74282700070041 147.900009155273 93
514783394.363636 2016.312 41.33226 -88.476005 146.904301187676 146.70900118767 NA -32.8495738251928 1095.87930177071 216 74282700071 74282700070041 147.900009155273 94
514783394.412903 2016.312 41.335135 -88.476986 146.831174495298 146.69527449529 NA -32.8534317943445 777.449863557172 216 74282700071 74282700070041 147.900009155273 0
514783394.462171 2016.312 41.338009 -88.477968 146.905146351328 146.733146351322 NA -32.8572884215938 473.537589128396 258 74282700071 74282700070051 147.900009155273 2
514783394.511438 2016.312 41.340884 -88.47895 146.828219658944 146.64511965895 NA -32.8611463907455 147.752036383411 258 74282700071 74282700070051 147.900009155273 0
514783394.560705 2016.312 41.343759 -88.479932 146.777092966578 146.657492966573 NA -32.8650043598972 193.473718320171 258 74282700071 74282700070051 147.900009155273 0
514783394.609972 2016.312 41.346634 -88.480914 146.879466274198 146.758666274209 NA -32.8688623290488 477.122482103976 241.5 74282700071 74282700070061 147.900009155273 0
514783394.65924 2016.312 41.349508 -88.481896 154.75353813025 154.737138130257 NA -32.8727189562982 795.911677407617 241.5 74282700071 74282700070061 147.900009155273 0
514783394.708507 2016.312 41.352383 -88.482878 154.798611437884 154.553311437889 NA -32.8765769254499 1121.3353298686 241.5 74282700071 74282700070061 147.900009155273 0
514783394.757774 2016.312 41.355258 -88.48386 155.904984745505 155.835684745502 NA -32.8804348946015 1448.89899959322 241.5 74282700071 74282700070061 147.900009155273 0
514783394.807041 2016.312 41.358132 -88.484843 156.032056601539 155.834056601535 NA -32.8842915218509 1777.34262623798 241.5 74282700071 74282700070061 147.900009155273 0
514783394.856308 2016.312 41.361007 -88.485825 164.399929909167 164.252629909156 NA -32.8881494910026 2106.34931742975 235.5 74282700071 74282700070071 147.900009155273 0
514783394.905576 2016.312 41.363882 -88.486808 164.599003216796 164.428303216794 NA -32.8920074601542 2432.5497864291 235.5 74282700071 74282700070071 147.900009155273 0
514783394.954843 2016.312 41.366756 -88.48779 160.157975072841 167.505475072844 NA -32.8958640874036 2759.55845137923 235.5 74282700071 74282700070071 147.900009155273 0
514783395.00411 2016.312 41.369631 -88.488773 164.741374813185 168.069474813184 NA -32.8996003153493 3087.34455002014 235.5 74282700071 74282700070071 147.900009155273 0
514783398.353806 2016.312 41.565066 -88.555738 218.765590793453 218.075990793455 NA -33.0784558648588 2864.75598272465 127 74282600051 74282600050211 167.800003051758 0
514783398.403073 2016.312 41.56794 -88.556726 212.503833768148 223.199633768135 NA -33.0799534839473 2610.50620046936 127 74282600051 74282600050211 167.800003051758 0
514783398.452327 2016.312 41.570814 -88.557713 212.357776742839 212.14957674283 NA -33.0814511030357 2375.06951327844 127 74282600051 74282600050211 167.800003051758 0
514783398.501595 2016.312 41.573688 -88.5587 212.800419717507 212.327819717514 NA -33.0829487221241 2143.99589152088 132.5 74282600051 74282600050241 167.800003051758 0
514783398.55085 2016.312 41.576561 -88.559688 195.648961946546 193.634861946546 NA -33.0844458201203 1894.72844404202 132.5 74282600051 74282600050251 167.800003051758 0
514783398.600105 2016.312 41.579435 -88.560675 206.150404921243 206.903604921235 NA -33.0859434392088 1642.89199934155 127 74282600051 74282600050271 167.800003051758 0
514783398.649373 2016.312 41.582309 -88.561663 196.22874789591 194.082647895912 NA -33.0874410582972 1369.0968854017 127 74282600051 74282600050281 167.800003051758 0
514783398.698628 2016.312 41.585182 -88.56265 195.266190124957 199.817090124959 205.265152431018 -33.0889381562934 1096.41119128201 127 74282600051 74282600050281 167.800003051758 0
514783398.747896 2016.312 41.588057 -88.563638 194.200233845282 193.979833845277 NA -33.0904362964741 832.390775833589 129 74282600051 74282600050291 167.800003051758 0
514783398.797151 2016.312 41.59093 -88.564626 186.561976074322 194.098476074309 NA -33.0919333944703 588.642299742186 122 74282600051 74282600050301 167.850006103516 0
514783398.846418 2016.312 41.593804 -88.565613 182.295619049017 186.233619049012 NA -33.0934310135587 313.943381469107 116 74282600051 74282600050311 167.900009155273 0
514783398.895673 2016.312 41.596678 -88.566601 221.45126202369 178.473762023696 NA -33.0949286326471 71.9981522191531 101 74282600051 74282600050321 168 0
514783398.94494 2016.312 41.599552 -88.567589 173.03600499837 177.195804998379 NA -33.0964262517355 168.292603113922 108 74282600051 74282600050331 168 0
514783398.994195 2016.312 41.602425 -88.568577 171.036147227406 170.547647227414 NA -33.0979233497317 411.068425912438 96 74282600051 74282600050341 168 0
514783399.043476 2016.312 41.6053 -88.569566 169.518008598463 166.764808598471 NA -33.09864775096 655.754687550794 83.5 74282600051 74282600050361 168 0
