time decyear lat lon Hocog Hocean geoid distnode width reachID nodeID wse OCval
693182076.592419 2021.964 46.389651 -94.805164 373.188693294742 373.299293294742 -27.1407710372772 1947.74125849417 33 74289600081 74289600080451 377.399993896484 0
693182076.645672 2021.964 46.391951 -94.802975 377.587911516553 377.562511516555 -27.1455052350081 1704.62883645756 33 74289600081 74289600080451 377.399993896484 0
693182076.698926 2021.964 46.39425 -94.800785 379.929327686964 380.079427686963 -27.1502373743922 1461.86818509867 60 74289600081 74289600080461 377.399993896484 0
693182076.75218 2021.964 46.39655 -94.798595 380.015045908778 380.12414590878 -27.1549715721232 1246.30446971413 60 74289600081 74289600080461 377.399993896484 0
693182076.805434 2021.964 46.39885 -94.796405 374.785364130586 374.373464130587 -27.1597057698541 1045.17462846808 54 74289600081 74289600080471 377.399993896484 0
693182076.858688 2021.964 46.40115 -94.794215 374.067582352399 374.103882352399 -27.1644399675851 854.702282978099 57 74289600081 74289600080481 377.399993896484 0
693182076.911942 2021.964 46.403449 -94.792024 379.654798522806 374.875498522804 -27.1691721069692 725.081162985943 57 74289600081 74289600080481 377.399993896484 0
693182076.965196 2021.964 46.405749 -94.789834 379.222616744622 375.732216744619 -27.1739063047002 474.622540058095 48 74289600081 74289600080641 377.399993896484 0
693182077.01845 2021.964 46.408048 -94.787643 375.138661179962 375.92736117996 -27.1782611799588 186.356860405725 48 74289600081 74289600080641 377.399993896484 0
693182077.071704 2021.964 46.410348 -94.785452 375.990505292909 375.994105292905 -27.181905292905 76.223424129472 36 74289600081 74289600080631 377.399993896484 0
693182077.124958 2021.964 46.412647 -94.78326 375.927947821457 376.064147821458 -27.1855478214542 2.98145562887288 63 74289600081 74289600080611 377.399993896484 0
693182077.178212 2021.964 46.414947 -94.781069 375.656691934399 375.768891934395 -27.1891919344004 109.330730258482 63 74289600081 74289600080591 377.399993896484 0
693182077.231467 2021.964 46.417246 -94.778877 375.698034462949 375.776034462951 -27.1928344629497 125.176209956609 39 74289600081 74289600080581 377.399993896484 0
693182077.284721 2021.964 46.419545 -94.776685 375.114776991496 375.550176991499 -27.1964769914989 420.000619546578 39 74289600081 74289600080581 377.399993896484 0
693182077.337975 2021.964 46.421845 -94.774493 377.13022110445 377.209921104452 -27.2001211044451 724.304803615117 39 74289600081 74289600080581 377.399993896484 0
693182077.39123 2021.964 46.424144 -94.772301 377.239263632993 377.289263632995 -27.2037636329944 1029.60509392923 39 74289600081 74289600080581 377.399993896484 0
693182077.444484 2021.964 46.426443 -94.770108 377.168306161549 377.263206161546 -27.2074061615436 1335.28665003863 39 74289600081 74289600080581 377.399993896484 0
693182077.497739 2021.964 46.428742 -94.767915 377.212548690099 377.276748690099 -27.2110486900929 1641.11796813319 39 74289600081 74289600080581 377.399993896484 0
693182077.550993 2021.964 46.431041 -94.765723 378.378991218639 378.450791218637 -27.2146912186421 1946.98630039672 39 74289600081 74289600080581 377.399993896484 0
