time decyear lat lon Himth Himth05 geoid distnode width reachID nodeID wse OCval
341244438.922301 2010.813 41.8302353 -87.7087109 NA NA -33.4628163961 56.4835865609351 42 74282700276 74282700270986 179.400009155273 0
341244438.969472 2010.813 41.8273852 -87.7090881 175.032679390353 175.032679390353 -33.4597149198 283.599333413441 42 74282700276 74282700270986 179.400009155273 0
341244439.016653 2010.813 41.8245344 -87.7094654 179.632741477692 179.632741477692 -33.4566781784 572.432181420077 42 74282700261 74282700260861 179.400009155273 0
341244439.063824 2010.813 41.8216843 -87.7098426 182.144851814613 182.144846678087 -33.4537091459 868.807889170414 51 74282700261 74282700260851 179.400009155273 0
341244439.110996 2010.813 41.8188341 -87.7102197 184.039792576342 184.039786735966 -33.4508084493 1154.52950641811 67.5 74282700261 74282700260841 179.400009155273 0
341244439.158167 2010.813 41.815984 -87.7105969 186.26615848566 186.266154615272 -33.447977534 1416.46250631671 94 74282700261 74282700260831 179.400009155273 0
341244439.205339 2010.813 41.8131338 -87.710974 188.57988658859 188.57988658859 -33.4452167646 1676.41391083475 121 74282700261 74282700260821 179.400009155273 0
341244439.25251 2010.813 41.8102837 -87.7113511 190.186240621689 190.186240621689 -33.4425251566 1939.41086032898 105 74282700261 74282700260801 179.400009155273 0
341244439.299681 2010.813 41.8074336 -87.7117282 190.467430888312 190.467430888312 -33.4399013052 2196.01300229028 105 74282700261 74282700260801 179.400009155273 0
341244439.346853 2010.813 41.8045834 -87.7121053 190.324854017941 190.324854017941 -33.4373437551 2467.15552791695 105 74282700261 74282700260801 179.400009155273 0
341244439.394024 2010.813 41.8017333 -87.7124824 190.365144189841 190.365144189841 -33.4348512374 2748.52160700427 105 74282700261 74282700260801 179.400009155273 0
341244439.441196 2010.813 41.7988831 -87.7128595 190.188823276294 190.188823276294 -33.4324227558 3031.46286884883 84.5 74282700261 74282700260791 179.400009155273 0
341244450.715265 2010.813 41.1176403 -87.8025262 200.230278011679 200.230278011679 -32.932454547 3070.15335087232 149 74282900011 74282900010261 186 0
341244450.762436 2010.813 41.1147898 -87.8028995 197.948821275868 197.948821275868 -32.9287393474 2909.53189306625 149 74282900011 74282900010261 186 0
341244450.809608 2010.813 41.1119391 -87.8032728 197.295954644203 197.295951607855 -32.9250450557 2760.2208567851 151 74282900011 74282900010251 186 0
341244450.856779 2010.813 41.1090886 -87.8036461 196.658609120835 196.658606669304 -32.9213792245 2600.98627176766 213 74282700151 74282700150371 181 0
341244450.903951 2010.813 41.106238 -87.8040193 196.364052257121 196.364052257121 -32.9177511922 2414.76034755479 213 74282700151 74282700150371 181 0
341244450.951122 2010.813 41.1033874 -87.8043926 194.420404076573 194.420404076573 -32.9141701353 2246.38171205189 106.5 74282900011 74282900010181 185.900009155273 0
341244450.998301 2010.813 41.1005364 -87.8047659 190.72347915291 190.72347915291 -32.9106454016 2063.15150917667 136 74282900011 74282900010171 185.900009155273 0
341244451.045472 2010.813 41.0976858 -87.8051391 187.747931713556 187.747929161032 -32.9071777824 1891.24852316127 136 74282900011 74282900010171 185.900009155273 0
341244451.092644 2010.813 41.0948352 -87.8055123 185.874294542266 185.874294542266 -32.9037551614 1760.75398631154 136 74282900011 74282900010171 185.900009155273 0
341244451.139815 2010.813 41.0919847 -87.8058855 184.839975847341 184.839975847341 -32.900383483 1669.18348535463 123 74282900011 74282900010161 185.900009155273 0
341244451.186986 2010.813 41.0891341 -87.8062587 184.189909777196 184.189909777196 -32.8970689613 1459.74559152808 275 74282700151 74282700150481 181.199996948242 0
341244451.234158 2010.813 41.0862835 -87.8066319 183.832458252329 183.832447037122 -32.8938181225 1235.78660839321 275 74282700151 74282700150481 181.199996948242 4
341244451.281329 2010.813 41.0834329 -87.807005 184.333401189888 184.333401189888 -32.8906376472 1011.25327854738 84 74282900011 74282900010071 184.900009155273 0
341244451.328501 2010.813 41.0805823 -87.8073781 186.072242423462 186.072239974332 -32.8875267735 721.885102413486 204 74282900011 74282900010031 183.900009155273 0
341244451.375672 2010.813 41.0777317 -87.8077513 188.177257431545 188.177255372584 -32.8844806855 403.301470084305 204 74282900011 74282900010031 183.900009155273 0
341244451.422844 2010.813 41.0748811 -87.8081244 190.138059901697 190.138059901697 -32.8815015888 85.9040505693021 204 74282900011 74282900010031 183.900009155273 0
341244451.470015 2010.813 41.0720305 -87.8084974 191.670446022688 191.67044232644 -32.8785912671 235.156713705606 204 74282900011 74282900010031 183.900009155273 0
341244451.517186 2010.813 41.0691799 -87.8088705 192.386367780549 192.386365700774 -32.875751073 274.217850497233 151 74282800011 74282800010031 182.400009155273 0
341244451.564358 2010.813 41.0663293 -87.8092436 193.22520626668 193.22520626668 -32.8729830018 298.771212322932 129 74282800011 74282800010041 183.450004577637 0
341244451.611529 2010.813 41.0634787 -87.8096166 193.402796145976 193.402794258457 -32.8702901724 458.720559683762 174 74282800011 74282800010051 185.800003051758 0
341244451.658701 2010.813 41.0606281 -87.8099896 193.687694765526 193.687692557237 -32.8676718786 679.867518041125 174 74282800011 74282800010051 185.800003051758 0
341244451.705872 2010.813 41.0577775 -87.8103627 193.701011716813 193.700997974692 -32.8651256009 820.432609112964 123 74282800011 74282800010081 185.800003051758 0
341244451.753044 2010.813 41.0549269 -87.8107357 193.427015210636 193.427015210636 -32.8626494475 968.806069047169 93 74282800011 74282800010091 185.950012207031 0
341244451.800215 2010.813 41.0520763 -87.8111086 194.035057485665 194.035053118965 -32.8602411042 1181.26011656425 93 74282800011 74282800010091 185.950012207031 0
341244451.847387 2010.813 41.0492256 -87.8114816 193.888100881417 193.888100881417 -32.857898481 1433.65475355977 93 74282800011 74282800010091 185.950012207031 0
341244451.894558 2010.813 41.046375 -87.8118546 193.544628130715 193.544628130715 -32.8556317343 1708.36751706025 93 74282800011 74282800010091 185.950012207031 0
341244451.941729 2010.813 41.0435245 -87.8122275 193.473247316415 193.473247316415 -32.8534401271 1996.2027131685 93 74282800011 74282800010091 185.950012207031 0
341244451.988901 2010.813 41.0406738 -87.8126004 192.113725446582 192.113725446582 -32.8513169132 2292.24749016382 93 74282800011 74282800010091 185.950012207031 0
341244452.036084 2010.813 41.0378225 -87.8129734 191.087824353696 191.087824353696 -32.8492552506 2593.7421203015 93 74282800011 74282800010091 185.950012207031 0
341244452.083255 2010.813 41.0349719 -87.8133463 190.911679408351 190.911675605532 -32.8472495903 2616.22075620262 108 74282800011 74282800010421 187.800003051758 0
341244452.130426 2010.813 41.0321213 -87.8137192 190.986894640988 190.986894640988 -32.8452956178 2411.51027419411 108 74282800011 74282800010431 187.800003051758 0
341244452.177598 2010.813 41.0292706 -87.814092 190.030011920751 190.030004050223 -32.8434095262 2203.03156271719 84 74282800011 74282800010461 188.149993896484 0
341244452.224769 2010.813 41.02642 -87.8144649 189.427799389686 189.427799389686 -32.8415876685 1950.94517807138 105 74282800011 74282800010481 188.5 0
341244452.271941 2010.813 41.0235694 -87.8148377 189.751921485629 189.751919369206 -32.8398217555 1702.23455341571 105 74282800011 74282800010481 188.5 0
341244452.319112 2010.813 41.0207188 -87.8152105 190.193119448072 190.193119448072 -32.8381028628 1477.00153981611 102 74282800011 74282800010491 188.5 0
341244452.366284 2010.813 41.0178681 -87.8155833 191.07208205445 191.07208205445 -32.8364221721 1258.40390562307 102 74282800011 74282800010491 188.5 0
341244452.413455 2010.813 41.0150175 -87.8159561 191.811976014379 191.811976014379 -32.8347770686 1009.72571291918 117.5 74282800011 74282800010531 188.5 0
341244452.460627 2010.813 41.0121668 -87.8163289 192.973647380448 192.973647380448 -32.8331859002 700.701984283739 91.5 74282800011 74282800010541 188.5 0
341244452.507798 2010.813 41.0093162 -87.8167016 194.204525385157 194.204525385157 -32.8316429147 399.264402010464 91.5 74282800011 74282800010541 188.5 0
341244452.554969 2010.813 41.0064656 -87.8170744 196.035406801467 196.035394635689 -32.8301380582 93.6765988386981 125 74282800011 74282800010551 188.5 60
341244452.602141 2010.813 41.0036149 -87.8174471 196.326339811223 196.326339811223 -32.8286620715 226.983434536819 125 74282800011 74282800010551 188.5 0
341244452.649312 2010.813 41.0007643 -87.8178198 196.138703375013 196.138703375013 -32.8272052643 530.421237582539 139 74282800011 74282800010561 188.5 0
341244452.696484 2010.813 40.9979136 -87.8181925 196.282220822136 196.282220822136 -32.8257679085 462.713317304504 127 74282800011 74282800010631 188.5 0
341244452.743655 2010.813 40.995063 -87.8185652 195.86723671312 195.86723671312 -32.8243667394 271.647104741033 127 74282800011 74282800010641 188.5 0
341244452.790827 2010.813 40.9922123 -87.8189379 195.507660014984 195.507648151211 -32.8229942839 125.380352943467 115.5 74282800011 74282800010651 188.5 28
341244452.837998 2010.813 40.9893617 -87.8193105 195.446015295094 195.446012687607 -32.821641939 132.3122208454 106 74282800011 74282800010671 188.5 79
341244452.885169 2010.813 40.9865111 -87.8196831 195.505902637118 195.505901201401 -32.8203005565 132.034730786985 107 74282800011 74282800010681 188.5 0
341244452.932341 2010.813 40.9836604 -87.8200558 195.716953158282 195.716949969027 -32.8189609024 205.057857105685 108 74282800011 74282800010701 188.5 0
341244452.979512 2010.813 40.9808098 -87.8204284 195.70089374604 195.700884206659 -32.8176265946 263.854057820225 142 74282800011 74282800010711 188.5 0
341244453.026691 2010.813 40.9779587 -87.820801 195.534939086061 195.534939086061 -32.8163087955 366.306117193186 122 74282800011 74282800010731 188.5 0
341244453.073862 2010.813 40.975108 -87.8211736 195.543460755089 195.543457084864 -32.815001628 421.102578987867 107 74282800011 74282800010741 188.5 0
341244453.121034 2010.813 40.9722573 -87.8215461 195.244550976312 195.244550976312 -32.8136988188 492.866907274472 108 74282800011 74282800010761 188.5 0
341244453.168205 2010.813 40.9694067 -87.8219187 195.048036715826 195.048036715826 -32.812393552 621.666796716698 108 74282800011 74282800010761 188.5 0
341244453.215377 2010.813 40.966556 -87.8222912 194.665291075576 194.665291075576 -32.8110795984 744.96594472147 92 74282800011 74282800010791 188.5 0
341244453.262548 2010.813 40.9637054 -87.8226637 194.450206572379 194.450197672182 -32.8097612175 777.491138896955 105 74282800011 74282800010811 188.5 0
341244453.30972 2010.813 40.9608547 -87.8230362 194.562931918152 194.562920952796 -32.8084435441 755.112305866174 123 74282800011 74282800010831 189.100006103516 0
341244453.356891 2010.813 40.958004 -87.8234087 194.688859827386 194.688849811209 -32.8071232763 728.782200687689 94 74282800011 74282800010851 188.5 0
341244453.404062 2010.813 40.9551534 -87.8237812 194.88443783721 194.88441911946 -32.8057970452 748.312594648855 101 74282800011 74282800010861 188.5 0
341244453.451234 2010.813 40.9523027 -87.8241536 195.087115408138 195.087113578372 -32.804461519 840.513685998637 101 74282800011 74282800010861 188.5 0
341244453.498405 2010.813 40.949452 -87.8245261 195.427876223036 195.427870706699 -32.8031129552 1004.22178991996 112.5 74282800011 74282800010871 188.5 0
341244453.545577 2010.813 40.9466013 -87.8248985 195.899029592433 195.899019838507 -32.8017531874 1205.3262472216 112.5 74282800011 74282800010871 188.5 0
341244453.592748 2010.813 40.9437507 -87.8252709 196.4997930979 196.499791389733 -32.8003839991 1257.41633987737 107.5 74282800021 74282800020021 188.5 0
341244453.63992 2010.813 40.9409 -87.8256433 197.026824515508 197.026812267274 -32.7990055823 1247.20222188016 94 74282800021 74282800020041 188.5 0
341244453.687091 2010.813 40.9380493 -87.8260157 195.428728292096 195.428726349616 -32.7976181477 1247.66008248013 94 74282800021 74282800020041 188.5 0
341244453.734263 2010.813 40.9351986 -87.826388 194.641789277264 194.641785813698 -32.7962219913 1270.64160164958 65 74282800021 74282800020061 188.5 0
341244453.781434 2010.813 40.932348 -87.8267604 193.769425722716 193.769423303603 -32.7948164582 1304.74479411562 123 74282800021 74282800020081 189.5 0
341244453.828605 2010.813 40.9294973 -87.8271327 193.286727712775 193.286724168518 -32.793397833 1295.09486174659 121 74282800021 74282800020101 189.5 0
341244453.875777 2010.813 40.9266466 -87.827505 192.82102012689 192.82102012689 -32.7919676229 1290.88878621165 91 74282800021 74282800020111 189.5 0
341244453.922948 2010.813 40.9237959 -87.8278773 192.902472996303 192.902470265554 -32.7905291611 1311.60284064455 108 74282800021 74282800020141 189.5 0
341244453.97012 2010.813 40.9209452 -87.8282496 192.941346171495 192.941346171495 -32.7890857366 1233.96288605601 115 74282800021 74282800020161 189.5 0
341244454.0173 2010.813 40.918094 -87.828622 193.223327381532 193.223327381532 -32.7876402845 1161.8060153402 108 74282800021 74282800020171 189.5 0
341244454.064472 2010.813 40.9152433 -87.8289942 193.948765005963 193.948761992308 -32.786194521 1112.53760557994 101 74282800021 74282800020181 189.5 0
341244454.111643 2010.813 40.9123926 -87.8293665 194.121631781901 194.121631781901 -32.7847383746 1099.97027805505 92 74282800021 74282800020191 189.5 0
341244454.158815 2010.813 40.9095419 -87.8297387 194.625453219811 194.625453219811 -32.783275654 1059.32931921824 105 74282800021 74282800020261 189.5 0
341244454.205986 2010.813 40.9066912 -87.8301109 195.225143109419 195.225143109419 -32.7818120693 803.797305513932 84 74282800021 74282800020271 189.5 0
341244454.253158 2010.813 40.9038404 -87.8304831 195.714841564286 195.714839977499 -32.78035345 554.303153866425 84 74282800021 74282800020281 189.5 0
341244454.300329 2010.813 40.9009898 -87.8308553 196.19247651648 196.19247651648 -32.7789057361 292.462622434976 84 74282800021 74282800020291 189.5 0
341244454.3475 2010.813 40.8981391 -87.8312274 196.25196041908 196.251952706064 -32.77746918 69.833823225056 84 74282800021 74282800020301 189.5 0
341244454.394672 2010.813 40.8952884 -87.8315996 196.144614084109 196.144614084109 -32.7760308104 106.305898031203 75 74282800021 74282800020311 189.5 0
